language,package,module,source,line,local_version,status,lock_status
R,data.table,data.table,analysis/patient_level/run_independent_colon_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,edgeR,edgeR,analysis/patient_level/run_independent_colon_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,Matrix,Matrix,analysis/programmes/run_lung_source_confounded_sensitivity.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/programmes/run_lung_source_confounded_sensitivity.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,edgeR,edgeR,analysis/programmes/run_lung_source_confounded_sensitivity.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,fgsea,fgsea,analysis/programmes/run_lung_source_confounded_sensitivity.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,Matrix,Matrix,analysis/patient_level/run_patient_level_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/patient_level/run_patient_level_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,edgeR,edgeR,analysis/patient_level/run_patient_level_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,msigdbr,msigdbr,analysis/programmes/run_spatial_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/programmes/run_spatial_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,fgsea,fgsea,analysis/programmes/run_spatial_pathway_enrichment.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,Matrix,Matrix,analysis/patient_level/run_spatial_sample_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/patient_level/run_spatial_sample_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,edgeR,edgeR,analysis/patient_level/run_spatial_sample_pseudobulk_de.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/historical_selection/screen_GSE313368_irAE_rescue.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,fgsea,fgsea,analysis/historical_selection/screen_GSE313368_irAE_rescue.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/historical_selection/validate_TNFSF12_signature_reciprocity.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
